id,department,classification,municipality,municipalCapital,latitude,longitude,altitude,northCoordinate,eastCoordinate,origin
116,ANTIOQUIA,MUNICIPIO,SEGOVIA,SEGOVIA,N 7° 5' 1{COM},W74°42'13{COM},681,1274807,931204,BOGOTA
117,ANTIOQUIA,MUNICIPIO,SONSÓN,SONSON,N 5°42'44{COM},W75°18'50{COM},2492,1123246,863407,BOGOTA
118,ANTIOQUIA,MUNICIPIO,SOPETRÁN,SOPETRAN,N 6°30'14{COM},W75°44'51{COM},660,1210843,1147505,OESTE
119,ANTIOQUIA,MUNICIPIO,TÁMESIS,TAMESIS,N 5°40' 2{COM},W75°42'58{COM},1500,1118301,1151212,OESTE
120,ANTIOQUIA,MUNICIPIO,TARAZÁ,TARAZA,N 7°35'18{COM},W75°24'10{COM},97,1330802,854113,BOGOTA
121,ANTIOQUIA,MUNICIPIO,TARSO,TARSO,N 5°52'12{COM},W75°49'33{COM},1325,1140704,1139004,OESTE
122,ANTIOQUIA,MUNICIPIO,TITIRIBÍ,TITIRIBI,N 6° 3'56{COM},W75°47'51{COM},1550,1162342,1142092,OESTE
123,ANTIOQUIA,MUNICIPIO,TOLEDO,TOLEDO,N 7° 0'48{COM},W75°41'44{COM},1850,1267215,1153092,OESTE
124,ANTIOQUIA,MUNICIPIO,TURBO,TURBO,N 8° 5'53{COM},W76°43'54{COM},0,1386970,1038495,OESTE
125,ANTIOQUIA,MUNICIPIO,URAMITA,URAMITA,N 6°54' 8{COM},W76°10'34{COM},647,1254796,1100005,OESTE
126,ANTIOQUIA,MUNICIPIO,URRAO,URRAO,N 6°19'12{COM},W76° 8'18{COM},2000,1190407,1104303,OESTE
127,ANTIOQUIA,MUNICIPIO,VALDIVIA,VALDIVIA,N 7°10' 3{COM},W75°26'29{COM},1064,1284261,849709,BOGOTA
128,ANTIOQUIA,MUNICIPIO,VALPARAÍSO,VALPARAISO,N 5°37' 5{COM},W75°37'44{COM},1358,1112886,1160891,OESTE
129,ANTIOQUIA,MUNICIPIO,VEGACHÍ,VEGACHI,N 6°46'24{COM},W74°48' 7{COM},1000,1240506,920287,BOGOTA
130,ANTIOQUIA,MUNICIPIO,VENECIA,VENECIA,N 5°57'46{COM},W75°44'15{COM},1330,1150989,1148764,OESTE
131,ANTIOQUIA,MUNICIPIO,VIGÍA DEL FUERTE,VIGIA DEL FUERTE,N 6°35'31{COM},W76°53'55{COM},7,1220391,1020162,OESTE
132,ANTIOQUIA,MUNICIPIO,YALÍ,YALI,N 6°40'37{COM},W74°50'50{COM},1200,1229853,915264,BOGOTA
133,ANTIOQUIA,MUNICIPIO,YARUMAL,YARUMAL,N 6°57'54{COM},W75°25'14{COM},2269,1261853,851946,BOGOTA
134,ANTIOQUIA,MUNICIPIO,YOLOMBÓ,YOLOMBO,N 6°36' 7{COM},W75° 0'51{COM},1462,1221589,896787,BOGOTA
135,ANTIOQUIA,MUNICIPIO,YONDÓ,CASABE,N 7° 0'29{COM},W73°54'52{COM},100,1266408,1018395,BOGOTA
136,ANTIOQUIA,MUNICIPIO,ZARAGOZA,ZARAGOZA,N 7°29'39{COM},W74°52'17{COM},67,1320244,912746,BOGOTA
137,ARAUCA,MUNICIPIO,ARAUCA,ARAUCA,N 7° 5'26{COM},W70°45'42{COM},128,1275541,1035270,ESTE
138,ARAUCA,MUNICIPIO,ARAUQUITA,ARAUQUITA,N 7° 1'50{COM},W71°26' 8{COM},155,1268908,960815,ESTE
139,ARAUCA,MUNICIPIO,CRAVO NORTE,CRAVO NORTE,N 6°18' 7{COM},W70°12'32{COM},102,1188397,1096498,ESTE
140,ARAUCA,MUNICIPIO,FORTUL,FORTUL,N 6°47'32{COM},W71°46'32{COM},244,1242591,923207,ESTE
141,ARAUCA,MUNICIPIO,PUERTO RONDÓN,PUERTO RONDON,N 6°16'55{COM},W71° 6' 6{COM},140,1186104,997704,ESTE
142,ARAUCA,MUNICIPIO,SARAVENA,SARAVENA,N 6°57'42{COM},W71°52'54{COM},224,1261350,911507,ESTE
143,ARAUCA,MUNICIPIO,TAME,TAME,N 6°27'44{COM},W71°44'20{COM},325,1206088,927213,ESTE
144,ARCHIPIELAGO DE SAN ANDRES. PROV. Y STA CATALINA,MUNICIPIO,SAN ANDRES,SAN ANDRES,N12°35' 5{COM},W81°42' 3{COM},20,1883775,823948,OESTE-OESTE
145,ARCHIPIELAGO DE SAN ANDRES. PROV. Y STA CATALINA,MUNICIPIO,PROVIDENCIA,PROVIDENCIA,N13°22'54{COM},W81°22'17{COM},5,1971764,860204,OESTE-OESTE
